"Module status (enabled)","Статус модуля (включён)"
"Payment method name","Название платёжного метода"
"Text displayed during checkout","Выводимый во время оформления заказа текст"
"Merchant ID","Идентификатор продавца"
"Merchant ID in the ConcordPay system","Идентификатор продавца в системе ConcordPay"
"Secret key","Секретный ключ"
"Secret key in the ConcordPay system","Секретный ключ продавца в системе ConcordPay"
"New order status","Статус нового заказа"
"Order status after creation","Статус заказа после создания"
"Status after payment","Статус после оплаты"
"Order status after successful payment","Статус заказа после успешной оплаты"
"Status after payment refund","Статус после возврата платежа"
"Order status after payment is returned to the customer","Статус заказа после возврата средств покупателю"
"ConcordPay payment page language","Язык страницы оплаты ConcordPay"
"Payment Visa, Mastercard, Google Pay, Apple Pay","Оплата Visa, Mastercard, Google Pay, Apple Pay"
"Payment by card on the site","Оплата картой на сайте"
"Order not found!","Заказ не найден!"
"Unknown operation type!","Неизвестный тип операции!"
"Signature is incorrect or missing!","Подпись неправильная или отсутствует!"
"Russian","Русский"
"Ukrainian","Украинский"
"English","Английский"
"Ukrainian Hryvnia","Украинская Гривна"
"Russian Ruble","Российский Рубль"
"U.S. Dollar","Доллар США"
"Euro","Евро"